Designator,Mid X,Mid Y,Rotation,Layer
C1,187.537411,-68.748589,45.0,top
C10,177.206589,-70.951411,45.0,top
C11,190.25,-77.06,315.0,top
C12,154.7622,-67.0814,90.0,top
C13,154.7368,-80.1878,270.0,top
C14,154.2024,-64.516,90.0,top
C15,154.181301,-69.682377,90.0,top
C16,149.9336,-72.7964,180.0,top
C17,156.197,-64.494513,180.0,top
C18,156.1722,-83.0,180.0,top
C19,157.8356,-71.5264,270.0,top
C2,193.802,-68.453,270.0,top
C20,154.2034,-82.804,270.0,top
C21,157.8356,-75.8952,90.0,top
C22,149.9616,-74.3204,180.0,top
C23,154.2034,-77.5716,270.0,top
C3,193.802,-71.12,90.0,top
C4,193.195,-74.93,0.0,top
C5,198.3232,-72.0344,0.0,top
C6,196.85,-78.161333,180.0,top
C7,194.691,-72.997,270.0,top
C8,186.860822,-68.028178,45.0,top
C9,183.035,-79.375,0.0,top
D1,161.29,-78.9432,180.0,top
FB1,198.117159,-70.042413,180.0,top
J1,182.879999,-82.55,270.0,top
J2,174.244,-73.66,0.0,top
J20,151.13,-68.041,180.0,top
J21,151.13,-79.220998,180.0,top
J3,182.879998,-64.77,270.0,top
J4,205.74,-73.66,90.0,top
J5,168.91,-73.66,0.0,top
J6,201.93,-67.31,270.0,top
L1,158.3436,-67.0095,270.0,top
L2,156.8704,-80.4035,90.0,top
L3,156.6164,-67.0095,270.0,top
L4,158.6484,-80.3699,90.0,top
L5,156.540998,-69.773002,180.0,top
L6,156.464,-77.6224,180.0,top
R1,189.15,-78.11,135.0,top
R10,159.1686,-83.0,0.0,top
R11,155.9052,-75.7936,180.0,top
R12,152.4508,-74.3204,0.0,top
R13,200.2536,-78.161333,90.0,top
R14,206.0,-66.06,180.0,top
R15,155.434962,-74.336485,180.0,top
R2,172.2,-71.950001,270.0,top
R3,180.487376,-78.887376,315.0,top
R4,159.8168,-68.326,90.0,top
R5,159.195,-64.494513,0.0,top
R6,155.895945,-71.414376,180.0,top
R7,160.1216,-80.820801,90.0,top
R8,152.4386,-72.7964,0.0,top
R9,155.416205,-72.868696,180.0,top
SW3,161.29,-73.66,90.0,top
U1,183.006998,-73.433445,135.0,top
U5,198.18316,-75.122413,90.0,top
Y1,191.35,-69.736,90.0,top
Y2,192.151,-73.279,0.0,top
